client_name,age,ed,employ,address,income,debtinc,creddebt,othdebt,default,card_brand,card_type,credit_limit,has_chip,card_on_dark_web,MaritalStatus,EducationLevel,EmploymentStatus,HomeOwnershipStatus,BankruptcyHistory,kashf_ratib,sijil_tijari,ouqoud,damanat,wathaiq_zoboun
Client_0,26,1,36,28,72,9.4,0.45,3.63,0,Visa,Debit,,No,Yes,Divorced,Masters,Employed,Rent,0,true,false,true,false,true
Client_1,56,4,10,2,32,36.7,9.59,11.37,0,Visa,Credit,,Yes,No,Single,Masters,Self-Employed,Rent,0,false,false,false,false,true
Client_2,34,1,9,19,187,1.1,6.66,13.75,0,Visa,Credit,,Yes,No,Single,High School,Unemployed,Mortgage,0,true,true,true,false,true
Client_3,38,2,6,13,115,34.1,3.0,1.3,0,CIB,Credit,,Yes,No,Single,Masters,Self-Employed,Mortgage,0,false,true,true,false,false
Client_4,41,4,32,0,49,14.0,7.54,8.81,0,Mastercard,Credit,,Yes,No,Married,High School,Employed,Own,0,true,false,true,true,true
Client_5,49,3,8,14,53,1.4,4.55,0.69,0,CIB,Credit,,Yes,No,Divorced,Bachelors,Employed,Mortgage,0,false,true,true,true,true
Client_6,52,3,22,7,198,49.2,0.87,2.85,0,Visa,Credit,,Yes,No,Divorced,Bachelors,Employed,Mortgage,0,true,false,false,false,true
Client_7,24,1,26,8,111,37.4,7.26,14.59,0,Visa,Debit,,Yes,No,Married,High School,Employed,Own,0,true,true,true,false,true
Client_8,29,2,13,23,161,47.5,0.82,12.87,0,Mastercard,Credit,,Yes,Yes,Single,Bachelors,Self-Employed,Mortgage,0,false,false,true,true,true
Client_9,47,1,28,19,47,11.3,1.33,1.19,0,Visa,Credit,,Yes,No,Single,PhD,Employed,Own,0,true,true,true,false,true
Client_10,24,4,16,2,179,28.1,7.56,5.71,0,Visa,Debit,,Yes,No,Married,Masters,Unemployed,Mortgage,0,true,true,false,true,true
Client_11,38,1,4,13,190,18.4,7.99,2.24,0,Visa,Debit,,Yes,Yes,Single,Masters,Unemployed,Own,0,false,false,false,true,false
Client_12,28,4,8,1,191,24.5,8.06,11.62,0,Visa,Credit,,Yes,No,Single,PhD,Unemployed,Rent,0,false,true,false,false,false
Client_13,57,3,7,25,143,33.2,2.24,8.75,0,Visa,Credit,,Yes,No,Married,PhD,Employed,Own,0,true,true,true,false,false
Client_14,61,3,32,13,96,7.2,4.78,7.73,0,CIB,Credit,,Yes,No,Married,High School,Self-Employed,Rent,0,false,false,true,false,false
Client_15,22,2,36,22,45,20.2,3.23,11.98,0,Mastercard,Credit,,Yes,No,Divorced,Masters,Employed,Mortgage,0,true,true,false,true,false
Client_16,60,1,14,24,87,43.0,9.82,3.95,0,Visa,Debit,,Yes,No,Divorced,Bachelors,Employed,Rent,0,true,true,false,true,false
Client_17,40,1,5,18,180,16.1,6.81,2.22,0,CIB,Credit,,Yes,No,Married,Masters,Self-Employed,Rent,0,false,false,false,true,true
Client_18,29,4,2,26,151,36.8,2.86,3.05,1,Visa,Debit,,Yes,No,Married,PhD,Unemployed,Mortgage,0,false,false,true,false,false
Client_19,64,1,28,28,152,31.8,5.28,0.33,0,Mastercard,Credit,,Yes,No,Married,Bachelors,Employed,Rent,0,false,false,false,true,false
Client_20,29,2,27,27,170,25.4,2.54,9.33,0,Mastercard,Credit,,Yes,No,Married,Bachelors,Unemployed,Mortgage,0,false,true,true,true,true
Client_21,34,4,4,14,124,10.8,7.87,5.66,0,Visa,Debit,,Yes,No,Single,High School,Employed,Mortgage,0,true,false,true,false,false
